,title,area,numberOfRooms,price,town,district
0,"KINALIADA İSKELEYE , ÇARŞIYA COK YAKİN MERKEZİ KONUMDA 2+1",110,2+1,3450000,Kınalıada,Kınalıada Mh.
1,BÜYÜKADA NİZAMDA ÇEVİK EMLAKTAN 120M2 3+1 BALKONLU,120,3+1,3950000,Büyükada,Nizam Mh.
2,BÜYÜKADA'da 37 DÖNÜM içindeki GÜLBAHÇE SİTESİ' nde 175 M2 DAİRE,175,3+1,5250000,Büyükada,Nizam Mh.
3,Planet'ten Deniz Manzaralı 4+1 Geniş Ara Kat Daire,160,4+1,4250000,Büyükada,Maden Mh.
4,BURGAZADA GEZİNTİ CADDESİ'NDE 2+1 BAHÇE KATI,100,2+1,3500000,Burgazada,Burgazada Mh.
5,KINALIADA MERKEZDE SATILIK 2+2 160M2 ÇATI DUBLEKSİ,200,2+2,3750000,Kınalıada,Kınalıada Mh.
6,BÜYÜK ADA'DA BAKIMLI İSKELEYE 5 DK MESAFEDE SATILIK DAİRE,85,2+1,4450000,Büyükada,Nizam Mh.
7,HEYBELİADA SATILIK 1+1 MUHTEŞEM DENİZ MANZARALI MERKEZDE DAİRE,70,1+1,1750000,Heybeliada,nan
8,Planet'ten Merkezde Alçak Giriş 1+1 Daire,60,1+1,1650000,Büyükada,Nizam Mh.
9,Planet'ten Muhteşem Deniz Manzaralı ve Havuzlu Dubleks Daire,120,3+1,4250000,Büyükada,Maden Mh.
10,İSKELE SOKAK'DA MUHTEŞEM MANZARALI 3+1 140 M2 DUBLEKS DAİRE,200,3+1,4750000,Kınalıada,Kınalıada Mh.
11,Kınalı da 2+1 Denize 250 m. arakat güney cephe,90,2+1,2950000,Kınalıada,Kınalıada Mh.
12,Temiz Dubleks,180,3+1,4200000,Kınalıada,Kınalıada Mh.
13,Burgazada'da iskeleye 10 dakika 2+1,60,2+1,1750000,Burgazada,Burgazada Mh.
14,Büyükada Emlak'tan Cadde de 3 +1 Muhteşem Manzaralı Ara Kat,140,3+1,6500000,Büyükada,Maden Mh.
15,BÜYÜKADA'DA DENİZ MANZARALI SATILIK RUM EVİ,200,4+1,5000000,Büyükada,Maden Mh.
16,KINALIADA NARÇİÇEĞİ'NDE DENİZ MANZARALI İÇİ SIFIR KOMBİLİ 2+1,100,2+1,4600000,Kınalıada,Kınalıada Mh.
17,Burgazada 3+1 ozel ve genis bahceli dogalgazli yazlik kislik,160,3+1,3450000,Burgazada,Burgazada Mh.
18,TARİHİ BİR KÖŞK' TE BURGAZADA KEYFİ,145,3+1,6558000,Burgazada,Burgazada Mh.
19,Planet'ten İskeleye 5 Dkka İçi Sıfır Geniş 1+1 Ara Kat Daire,75,1+1,2100000,Heybeliada,nan
20,Katta Tek orta kat,130,2+1,3500000,Kınalıada,Kınalıada Mh.
21,KONAK EMLAK 3+1 DENİZ MANZARALI - HAVUZ SATILIK DAİRE,130,3+1,4450000,Büyükada,Nizam Mh.
22,HEYBELİADA'DA 2+1 SATILIK DUBLEKS,85,2+1,2450000,Heybeliada,nan
23,KINALIADA AKASYA CADDESİNDE KOMPLE SATILIK BİNA 2 DAİRE 1 İŞYERİ,900,4+2,19500000,Kınalıada,Kınalıada Mh.
24,HEYBELİADADA SATILIK BAHÇE KATI 3+1 SATILIK DAİRE,140,3+1,2150000,Heybeliada,nan
25,Heybeliada Merkezde Satılık Giriş Kat 2+1 Daire,100,2+1,2000000,Heybeliada,nan
26,BUZGAZADA DENİZ MANZARALI YALI DAİRESİ شقة قصر مطلة على البحر,85,2+1,3800000,Burgazada,Burgazada Mh.
27,ARYN'DEN BÜYÜKADA'DA SATILIK BAHÇE DUBLEX,170,4+1,4500000,Büyükada,Nizam Mh.
28,Heybeliada 2+1 iskeleye çok yakın,75,2+1,1900000,Heybeliada,nan
29,KINALIADA'NIN EN PRESTİJLİ CADDESİ AKASYA CADDESİNDE 2+1 DAİRE,85,2+1,3950000,Kınalıada,Kınalıada Mh.
30,BÜYÜKADA'DA KENDİ PLAJI OLAN HAVUZLU MANZARALI DAİRE,185,3+1,7500000,Büyükada,Nizam Mh.
31,Planet'ten İskeleye Yakın Geniş 2+1 Bahçe Katı Daire,110,2+1,1980000,Büyükada,Nizam Mh.
